ID,전화해지여부
TEST_00000,0.11533761
TEST_00001,0.10584283
TEST_00002,0.09029102
TEST_00003,0.24267621
TEST_00004,0.10102788
TEST_00005,0.076629534
TEST_00006,0.08360714
TEST_00007,0.13058388
TEST_00008,0.07970633
TEST_00009,0.14747497
TEST_00010,0.09535963
TEST_00011,0.1961727
TEST_00012,0.0720804
TEST_00013,0.13786152
TEST_00014,0.04872622
TEST_00015,0.11189776
TEST_00016,0.10978272
TEST_00017,0.10069298
TEST_00018,0.06999586
TEST_00019,0.058083516
TEST_00020,0.110237606
TEST_00021,0.113967225
TEST_00022,0.12997676
TEST_00023,0.055349357
TEST_00024,0.12063891
TEST_00025,0.25634956
TEST_00026,0.043148987
TEST_00027,0.112397805
TEST_00028,0.13381246
TEST_00029,0.16187605
TEST_00030,0.11535383
TEST_00031,0.09297634
TEST_00032,0.16749838
TEST_00033,0.06420807
TEST_00034,0.07153371
TEST_00035,0.07552338
TEST_00036,0.118133105
TEST_00037,0.11393268
TEST_00038,0.046848357
TEST_00039,0.07258943
TEST_00040,0.0915345
TEST_00041,0.12250218
TEST_00042,0.14048117
TEST_00043,0.10176941
TEST_00044,0.14175947
TEST_00045,0.115271606
TEST_00046,0.13695708
TEST_00047,0.079000935
TEST_00048,0.06478162
TEST_00049,0.08128859
TEST_00050,0.1580149
TEST_00051,0.11990372
TEST_00052,0.12103457
TEST_00053,0.099235736
TEST_00054,0.29986048
TEST_00055,0.13046366
TEST_00056,0.14749618
TEST_00057,0.10393053
TEST_00058,0.08899782
TEST_00059,0.25657195
TEST_00060,0.13260004
TEST_00061,0.08702512
TEST_00062,0.13389744
TEST_00063,0.13066389
TEST_00064,0.13698958
TEST_00065,0.089215636
TEST_00066,0.07254948
TEST_00067,0.18580887
TEST_00068,0.15665835
TEST_00069,0.037684716
TEST_00070,0.10853974
TEST_00071,0.071377166
TEST_00072,0.11370277
TEST_00073,0.084483
TEST_00074,0.10089962
TEST_00075,0.067418195
TEST_00076,0.048258144
TEST_00077,0.07345348
TEST_00078,0.06445814
TEST_00079,0.09650009
TEST_00080,0.06285739
TEST_00081,0.084091626
TEST_00082,0.13803855
TEST_00083,0.074771784
TEST_00084,0.09187084
TEST_00085,0.07386162
TEST_00086,0.111944735
TEST_00087,0.09979687
TEST_00088,0.09898796
TEST_00089,0.09652124
TEST_00090,0.06339028
TEST_00091,0.10527308
TEST_00092,0.14197744
TEST_00093,0.06616614
TEST_00094,0.0923871
