ID,Calories_Burned
TEST_0000,173.21829
TEST_0001,189.67471
TEST_0002,53.39298
TEST_0003,160.88176
TEST_0004,228.50746
TEST_0005,179.58336
TEST_0006,99.061295
TEST_0007,43.492413
TEST_0008,78.823586
TEST_0009,59.297127
TEST_0010,120.72152
TEST_0011,53.391777
TEST_0012,15.790169
TEST_0013,183.02896
TEST_0014,229.62677
TEST_0015,14.887939
TEST_0016,97.749
TEST_0017,128.20302
TEST_0018,157.55867
TEST_0019,7.0613937
TEST_0020,50.91444
TEST_0021,88.34956
TEST_0022,27.786823
TEST_0023,86.46345
TEST_0024,21.089191
TEST_0025,131.53775
TEST_0026,106.8772
TEST_0027,188.20142
TEST_0028,119.46405
TEST_0029,98.57128
TEST_0030,26.48175
TEST_0031,242.50586
TEST_0032,54.061123
TEST_0033,46.50106
TEST_0034,135.19783
TEST_0035,112.62666
TEST_0036,38.32865
TEST_0037,128.7515
TEST_0038,12.638657
TEST_0039,128.2445
TEST_0040,202.48877
TEST_0041,167.96051
TEST_0042,145.22623
TEST_0043,60.66404
TEST_0044,68.683914
TEST_0045,52.44794
TEST_0046,76.83055
TEST_0047,199.28398
TEST_0048,139.15443
TEST_0049,124.23885
TEST_0050,11.87648
TEST_0051,110.37857
TEST_0052,157.73273
TEST_0053,92.28807
TEST_0054,67.82055
TEST_0055,88.40199
TEST_0056,160.01361
TEST_0057,18.914612
TEST_0058,30.774467
TEST_0059,97.08977
TEST_0060,38.70719
TEST_0061,109.26247
TEST_0062,88.608925
TEST_0063,51.226837
TEST_0064,35.8508
TEST_0065,136.70561
TEST_0066,230.51936
TEST_0067,123.778206
TEST_0068,101.96448
TEST_0069,45.09984
TEST_0070,124.45924
TEST_0071,28.012253
TEST_0072,9.761673
TEST_0073,151.29865
TEST_0074,32.031105
TEST_0075,90.659424
TEST_0076,63.630753
TEST_0077,66.99767
TEST_0078,43.903687
TEST_0079,188.39188
TEST_0080,175.6378
TEST_0081,135.42665
TEST_0082,90.18173
TEST_0083,101.37461
TEST_0084,55.54754
TEST_0085,178.35468
TEST_0086,125.0958
TEST_0087,18.492317
TEST_0088,144.62305
TEST_0089,41.631897
TEST_0090,40.95581
TEST_0091,36.406128
TEST_0092,25.596607
TEST_0093,195.83711
TEST_0094,4.2058105
TEST_0095,10.520798
TEST_0096,238.05316
TEST_0097,140.3991
TEST_0098,186.70207
TEST_0099,173.64832
TEST_0100,14.298706
TEST_0101,98.15579
TEST_0102,188.26535
TEST_0103,164.59833
TEST_0104,64.5141
TEST_0105,166.2699
TEST_0106,36.003525
TEST_0107,21.440819
TEST_0108,188.15259
TEST_0109,31.664715
TEST_0110,110.15468
TEST_0111,187.44891
TEST_0112,46.28008
TEST_0113,146.33017
TEST_0114,54.65029
TEST_0115,79.75146
TEST_0116,78.62505
TEST_0117,63.758217
TEST_0118,15.383896
TEST_0119,7.268997
TEST_0120,186.30244
TEST_0121,48.752274
TEST_0122,43.264175
TEST_0123,20.305428
TEST_0124,32.40379
TEST_0125,99.20705
TEST_0126,46.716606
TEST_0127,55.96802
TEST_0128,102.01853
TEST_0129,77.37617
TEST_0130,61.351135
TEST_0131,194.25357
TEST_0132,68.87434
TEST_0133,133.7298
TEST_0134,104.117485
TEST_0135,71.82692
TEST_0136,73.637535
TEST_0137,65.49127
TEST_0138,177.50288
TEST_0139,22.899101
TEST_0140,125.24097
TEST_0141,18.289925
TEST_0142,109.53438
TEST_0143,41.141354
TEST_0144,12.61364
TEST_0145,33.122902
TEST_0146,169.36615
TEST_0147,81.62674
TEST_0148,118.950485
TEST_0149,84.51587
TEST_0150,42.74716
TEST_0151,80.92598
TEST_0152,68.976494
TEST_0153,20.075062
TEST_0154,93.07678
TEST_0155,54.7059
TEST_0156,129.13669
TEST_0157,39.12268
TEST_0158,196.7092
TEST_0159,39.931385
TEST_0160,128.27544
TEST_0161,99.802826
TEST_0162,113.263664
TEST_0163,139.3406
TEST_0164,56.806763
TEST_0165,33.19658
TEST_0166,42.099052
TEST_0167,132.63014
TEST_0168,208.268
TEST_0169,109.73437
TEST_0170,74.55917
TEST_0171,75.26266
TEST_0172,4.7742996
TEST_0173,83.08264
TEST_0174,16.04026
TEST_0175,48.37524
TEST_0176,4.3064575
TEST_0177,60.88097
TEST_0178,175.17567
TEST_0179,179.87943
TEST_0180,44.433044
TEST_0181,81.82035
TEST_0182,67.83443
TEST_0183,114.98421
TEST_0184,126.19808
TEST_0185,82.69489
TEST_0186,12.746857
TEST_0187,47.11692
TEST_0188,156.92519
TEST_0189,6.1142426
TEST_0190,41.1534
TEST_0191,6.859009
TEST_0192,161.75494
TEST_0193,42.71904
TEST_0194,175.46307
TEST_0195,103.191055
TEST_0196,7.8635406
TEST_0197,212.25827
TEST_0198,2.5739594
TEST_0199,10.365189
TEST_0200,11.447144
TEST_0201,129.72876
TEST_0202,23.864647
TEST_0203,42.84466
TEST_0204,99.70099
TEST_0205,90.21155
TEST_0206,149.95695
TEST_0207,81.98508
TEST_0208,15.635368
TEST_0209,65.86972
TEST_0210,60.66254
TEST_0211,193.59685
TEST_0212,164.1612
TEST_0213,17.411774
TEST_0214,49.628956
TEST_0215,61.543747
TEST_0216,85.72448
TEST_0217,140.23857
TEST_0218,40.906616
TEST_0219,96.27323
TEST_0220,176.75323
TEST_0221,65.837456
TEST_0222,136.25775
TEST_0223,192.55692
TEST_0224,78.81854
TEST_0225,33.222496
TEST_0226,65.32712
TEST_0227,134.68716
TEST_0228,58.707123
TEST_0229,5.9253235
TEST_0230,57.13407
TEST_0231,52.613537
TEST_0232,63.52534
TEST_0233,78.57531
TEST_0234,15.6410675
TEST_0235,50.03713
TEST_0236,129.8434
TEST_0237,20.165348
TEST_0238,148.43307
TEST_0239,20.335663
TEST_0240,17.297028
TEST_0241,194.60422
TEST_0242,88.08322
TEST_0243,12.140213
TEST_0244,41.715622
TEST_0245,69.51541
TEST_0246,45.782696
TEST_0247,116.065216
TEST_0248,42.331646
TEST_0249,18.620796
TEST_0250,52.426533
TEST_0251,91.61543
TEST_0252,38.154114
TEST_0253,105.87788
TEST_0254,111.01171
TEST_0255,33.47014
TEST_0256,8.971359
TEST_0257,102.782036
TEST_0258,135.92293
TEST_0259,19.756573
TEST_0260,21.856483
TEST_0261,69.98362
TEST_0262,51.462692
TEST_0263,20.160595
TEST_0264,27.10862
TEST_0265,-1.3954086
TEST_0266,56.23917
TEST_0267,21.053993
TEST_0268,63.67229
TEST_0269,185.61446
TEST_0270,98.79082
TEST_0271,133.46173
TEST_0272,19.908775
TEST_0273,145.2948
TEST_0274,23.036995
TEST_0275,57.465485
TEST_0276,80.51095
TEST_0277,153.58598
TEST_0278,7.203354
TEST_0279,61.610657
TEST_0280,178.93391
TEST_0281,103.13924
TEST_0282,34.078445
TEST_0283,16.982574
TEST_0284,181.61603
TEST_0285,45.923622
TEST_0286,40.772415
TEST_0287,53.056404
TEST_0288,104.08121
TEST_0289,50.000633
TEST_0290,177.46994
TEST_0291,40.727013
TEST_0292,72.70956
TEST_0293,45.651596
TEST_0294,136.20232
TEST_0295,36.31476
TEST_0296,74.933624
TEST_0297,126.58164
TEST_0298,140.6454
TEST_0299,189.45331
TEST_0300,222.02544
TEST_0301,6.217697
TEST_0302,227.25732
