id,count
0,97
1,123
2,83
4,213
5,117
10,104
11,38
12,219
15,16
17,35
18,252
23,206
25,139
26,28
31,128
39,94
40,28
41,147
42,148
43,227
51,267
52,183
54,84
60,118
61,116
62,213
63,28
65,130
66,116
68,267
71,28
80,139
82,61
94,147
98,193
101,16
102,116
107,1
112,124
113,97
115,44
116,227
120,92
121,36
122,160
132,211
143,1
147,75
150,16
151,77
152,219
153,83
155,44
156,1
159,232
161,92
163,31
177,286
186,8
188,10
190,47
191,78
192,260
195,171
200,164
209,140
210,15
211,267
214,213
215,16
218,82
219,40
222,132
225,12
228,205
236,255
241,35
242,144
243,264
245,15
247,252
251,123
252,35
253,16
254,112
258,212
260,27
261,280
265,104
266,211
267,267
269,134
270,61
275,116
278,40
279,31
286,213
287,15
288,207
289,121
293,132
294,137
297,4
302,227
303,16
304,117
307,94
309,11
311,255
312,131
314,290
315,255
319,220
322,148
323,74
325,94
327,211
330,18
332,206
333,1
338,111
341,103
345,252
348,149
349,31
350,91
352,54
355,21
356,184
358,92
363,116
369,123
371,13
372,123
375,209
380,267
388,207
391,148
392,144
393,219
394,72
396,28
401,183
407,38
409,66
410,116
416,83
418,206
420,248
421,276
422,267
424,203
428,267
429,219
431,213
435,1
439,112
441,1
447,213
449,219
451,267
452,13
454,127
458,88
463,146
467,18
470,89
471,150
474,139
478,111
483,89
484,260
485,97
486,138
491,72
494,90
495,236
497,84
499,123
515,82
518,230
521,132
525,255
529,215
532,83
534,77
540,38
544,164
547,227
549,64
563,40
564,109
567,83
572,174
577,174
578,291
585,123
588,267
589,227
590,104
592,15
594,183
596,14
598,124
599,98
605,50
606,116
607,230
608,166
609,61
610,236
611,50
614,148
615,147
616,131
617,116
618,89
624,89
629,146
631,91
633,97
637,90
638,89
643,65
644,128
645,83
646,220
648,148
650,35
651,89
652,252
656,121
657,16
659,16
660,268
662,116
665,243
675,212
681,128
682,200
685,35
686,249
689,16
696,147
703,83
704,116
705,167
714,166
717,40
718,11
720,104
721,276
723,149
726,83
728,219
730,137
731,213
734,146
737,36
738,38
745,267
746,28
749,226
752,28
753,40
758,166
765,89
766,123
768,28
769,164
774,267
775,130
781,44
784,267
794,13
795,127
796,40
802,131
803,95
805,16
806,252
807,89
809,7
810,267
812,83
814,210
818,226
819,255
825,1
836,35
839,116
847,212
848,132
851,123
852,115
853,1
857,248
858,104
859,116
861,1
867,137
870,213
871,252
872,169
874,232
881,120
886,149
890,44
895,149
899,91
900,267
901,252
902,232
903,47
913,252
918,149
923,121
924,84
926,32
927,38
930,252
934,36
937,213
939,132
941,100
942,276
946,138
950,147
953,90
959,35
961,16
962,132
964,1
969,121
971,148
976,29
978,234
980,213
981,116
990,123
993,29
996,15
998,123
999,286
1006,115
1008,16
1013,35
1015,116
1016,94
1022,267
1026,213
1028,123
1031,1
1034,44
1037,232
1040,92
1042,38
1046,213
1048,112
1049,161
1050,66
1051,290
1052,211
1055,89
1060,148
1064,13
1066,76
1071,118
1073,7
1089,276
1091,207
1092,22
1093,166
1096,267
1097,167
1098,19
1099,18
1102,290
1107,97
1109,84
1111,1
1112,115
1114,232
1116,192
1117,123
1118,16
1122,148
1124,150
1127,112
1133,267
1134,1
1135,83
1139,267
1143,44
1150,96
1151,115
1153,149
1155,28
1162,18
1163,161
1166,1
1171,91
1172,11
1173,252
1174,89
1177,214
1178,213
1184,97
1185,105
1186,112
1187,123
1188,115
1191,227
1207,84
1213,97
1215,116
1223,123
1227,130
1236,44
1237,44
1238,17
1241,15
1248,1
1250,51
1251,219
1253,89
1255,89
1257,219
1261,89
1262,276
1265,260
1273,147
1277,252
1278,213
1280,103
1284,116
1285,267
1288,18
1295,206
1297,123
1299,227
1304,207
1308,18
1310,89
1311,116
1314,97
1315,112
1318,40
1320,169
1321,210
1322,268
1330,138
1333,199
1334,90
1341,127
1344,199
1351,267
1354,83
1356,39
1363,132
1365,72
1369,116
1373,97
1375,118
1377,28
1379,267
1380,227
1381,96
1384,213
1390,140
1393,234
1395,42
1399,169
1400,64
1401,207
1404,291
1408,1
1409,35
1413,210
1416,133
1418,213
1423,32
1424,26
1425,7
1433,232
1434,149
1436,212
1442,147
1444,91
1445,83
1452,94
1455,211
1462,66
1467,1
1472,32
1475,112
1493,89
1501,147
1503,140
1504,123
1505,11
1511,232
1512,44
1513,105
1514,35
1528,123
1533,169
1534,19
1536,131
1537,35
1539,116
1550,121
1552,220
1554,213
1555,148
1556,83
1559,18
1563,115
1566,123
1567,213
1568,1
1571,226
1572,18
1574,44
1577,131
1583,3
1585,122
1586,213
1587,134
1596,138
1602,97
1604,16
1605,44
1610,267
1611,112
1616,16
1617,155
1618,16
1622,38
1623,28
1628,267
1631,11
1632,206
1633,267
1634,267
1636,267
1637,91
1643,132
1644,89
1646,97
1648,149
1651,28
1656,5
1658,150
1659,35
1665,94
1666,206
1670,35
1674,225
1679,123
1680,123
1683,291
1686,24
1691,227
1693,18
1696,112
1697,89
1703,16
1706,44
1709,116
1710,83
1712,184
1713,267
1718,276
1719,149
1722,252
1723,280
1724,252
1728,16
1730,35
1732,35
1737,18
1745,48
1747,11
1748,1
1755,235
1759,51
1761,226
1764,286
1765,212
1766,50
1768,66
1770,32
1771,121
1774,121
1785,118
1788,267
1792,11
1794,226
1797,94
1798,12
1799,207
1802,116
1806,28
1808,100
1810,213
1818,1
1819,160
1820,227
1822,252
1826,123
1827,207
1835,17
1841,130
1842,38
1843,17
1846,29
1849,113
1850,140
1851,83
1857,92
1858,170
1860,96
1861,252
1864,112
1869,171
1871,49
1872,1
1875,26
1878,255
1879,213
1885,91
1888,104
1889,13
1890,82
1896,149
1897,255
1898,50
1900,38
1905,32
1908,227
1909,116
1913,60
1918,111
1922,205
1923,111
1925,236
1926,183
1927,252
1930,111
1935,16
1939,112
1942,96
1943,0
1948,123
1949,252
1951,213
1953,132
1959,232
1963,207
1967,121
1973,147
1975,28
1976,44
1990,104
1993,83
1997,183
1999,111
2001,286
2004,3
2010,116
2013,138
2017,212
2021,3
2023,207
2026,227
2037,13
2039,32
2041,15
2046,35
2050,89
2060,112
2067,97
2069,94
2072,211
2074,116
2079,105
2083,16
2085,227
2087,8
2093,146
2094,207
2097,15
2103,64
2104,42
2107,255
2108,35
2110,35
2115,123
2117,35
2125,123
2127,232
2133,7
2134,207
2135,116
2141,211
2143,97
2145,48
2146,206
2147,238
2148,27
2149,60
2165,50
2166,210
2177,213
