연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.10661861
4,01-03 01:00,공주,0.10726164
4,01-03 02:00,공주,0.109349236
4,01-03 03:00,공주,0.108957335
4,01-03 04:00,공주,0.10797769
4,01-03 05:00,공주,0.10797769
4,01-03 06:00,공주,0.10998987
4,01-03 07:00,공주,0.11547453
4,01-03 08:00,공주,0.11888348
4,01-03 09:00,공주,0.120540045
4,01-03 10:00,공주,0.11696318
4,01-03 11:00,공주,0.101217136
4,01-03 12:00,공주,0.09446904
4,01-03 13:00,공주,0.09306477
4,01-03 14:00,공주,0.09107544
4,01-03 15:00,공주,0.09107544
4,01-03 16:00,공주,0.09127469
4,01-03 17:00,공주,0.09266379
4,01-03 18:00,공주,0.09609921
4,01-03 19:00,공주,0.09923525
4,01-03 20:00,공주,0.101377375
4,01-03 21:00,공주,0.10101619
4,01-03 22:00,공주,0.10134842
4,01-03 23:00,공주,0.099663466
4,01-04 00:00,공주,0.10661861
4,01-04 01:00,공주,0.10726164
4,01-04 02:00,공주,0.109349236
4,01-04 03:00,공주,0.108957335
4,01-04 04:00,공주,0.10797769
4,01-04 05:00,공주,0.10797769
4,01-04 06:00,공주,0.10998987
4,01-04 07:00,공주,0.11547453
4,01-04 08:00,공주,0.11888348
4,01-04 09:00,공주,0.120540045
4,01-04 10:00,공주,0.11696318
4,01-04 11:00,공주,0.101217136
4,01-04 12:00,공주,0.09446904
4,01-04 13:00,공주,0.09306477
4,01-04 14:00,공주,0.09107544
4,01-04 15:00,공주,0.09107544
4,01-04 16:00,공주,0.09127469
4,01-04 17:00,공주,0.09266379
4,01-04 18:00,공주,0.09609921
4,01-04 19:00,공주,0.09923525
4,01-04 20:00,공주,0.101377375
4,01-04 21:00,공주,0.10101619
4,01-04 22:00,공주,0.10134842
4,01-04 23:00,공주,0.099663466
4,01-05 00:00,공주,0.10661861
4,01-05 01:00,공주,0.10726164
4,01-05 02:00,공주,0.109349236
4,01-05 03:00,공주,0.108957335
4,01-05 04:00,공주,0.10797769
4,01-05 05:00,공주,0.10797769
4,01-05 06:00,공주,0.10998987
4,01-05 07:00,공주,0.11547453
4,01-05 08:00,공주,0.11888348
