index,quality
0,6
1,5
2,6
3,6
4,6
5,6
6,7
7,6
8,6
9,6
10,5
11,5
12,7
13,6
14,6
15,6
16,6
17,8
18,6
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,5
28,5
29,5
30,7
31,6
32,5
33,6
34,6
35,6
36,6
37,5
38,6
39,6
40,6
41,5
42,6
43,6
44,6
45,6
46,5
47,7
48,5
49,6
50,5
51,5
52,5
53,6
54,5
55,6
56,6
57,5
58,5
59,6
60,5
61,6
62,5
63,6
64,6
65,6
66,5
67,5
68,6
69,5
70,6
71,5
72,5
73,6
74,6
75,5
76,6
77,6
78,7
79,7
80,6
81,6
82,5
83,5
84,7
85,6
86,6
87,5
88,7
89,7
90,6
91,5
92,6
93,7
94,6
95,7
96,6
97,7
98,6
99,6
100,5
101,6
102,6
103,5
104,6
105,6
106,6
107,6
108,7
109,5
110,6
111,6
112,6
113,6
114,6
115,6
116,5
117,7
118,7
119,6
120,6
121,5
122,6
123,7
124,6
125,5
126,6
127,6
128,6
129,8
130,5
131,6
132,6
133,5
134,5
135,6
136,6
137,7
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,6
147,6
148,8
149,6
150,5
151,8
152,6
153,5
154,6
155,5
156,5
157,5
158,6
159,5
160,5
161,6
162,6
163,7
164,6
165,5
166,6
167,6
168,6
169,6
170,5
171,6
172,6
173,5
174,6
175,6
176,7
177,5
178,6
179,5
180,6
181,6
182,6
183,6
184,5
185,6
186,6
187,6
188,5
189,6
190,6
191,5
192,5
193,6
194,5
195,6
196,7
197,5
198,6
199,5
200,6
201,5
202,5
203,5
204,5
205,5
206,6
207,6
208,6
209,6
210,7
211,5
212,5
213,6
214,6
215,6
216,5
217,5
218,6
219,7
220,6
221,5
222,6
223,6
224,7
225,6
226,6
227,6
228,7
229,5
230,6
231,7
232,7
233,6
234,6
235,6
236,5
237,6
238,6
239,7
240,6
241,6
242,6
243,6
244,7
245,6
246,5
247,6
248,6
249,7
250,5
251,6
252,6
253,7
254,6
255,6
256,6
257,7
258,6
259,6
260,6
261,6
262,6
263,7
264,5
265,7
266,6
267,6
268,6
269,6
270,6
271,5
272,5
273,5
274,6
275,5
276,7
277,7
278,5
279,6
280,6
281,6
282,6
283,5
284,6
285,7
286,6
287,6
288,6
289,6
290,5
291,5
292,5
293,7
294,5
295,6
296,7
297,6
298,5
299,8
300,6
301,5
302,5
303,6
304,6
305,5
306,5
307,7
308,5
309,5
310,6
311,5
312,7
313,5
