iter	RMSE
0	0.3812054083
1	0.3811908939
2	0.3811759916
3	0.3811608801
4	0.38114652
5	0.3811334109
6	0.3811185381
7	0.3811061714
8	0.3810912339
9	0.3810772171
10	0.3810647588
11	0.3810516035
12	0.3810378324
13	0.3810241223
14	0.3810109455
15	0.380997532
16	0.380983371
17	0.3809702087
18	0.3809568414
19	0.3809426492
20	0.3809282399
21	0.3809151264
22	0.3809009839
23	0.3808866544
24	0.3808731663
25	0.3808604513
26	0.3808468181
27	0.3808339379
28	0.3808196212
29	0.3808053626
30	0.3807939055
31	0.3807793212
32	0.3807670694
33	0.3807536153
34	0.3807407136
35	0.3807270196
36	0.3807132393
37	0.3806999375
38	0.3806876797
39	0.3806746818
40	0.3806606993
41	0.3806472282
42	0.380634644
43	0.3806227174
44	0.3806087129
45	0.3805974383
46	0.380586398
47	0.3805730477
48	0.3805610279
49	0.3805479706
50	0.380535204
51	0.3805216189
52	0.3805090392
53	0.3805090392
54	0.3804961738
55	0.3804833143
56	0.380470475
57	0.3804571039
58	0.380445211
59	0.380433808
60	0.3804212516
61	0.3804091885
62	0.3803974033
63	0.3803850037
64	0.3803729791
65	0.3803615082
66	0.380348936
67	0.3803369378
68	0.3803241436
69	0.3803121321
70	0.3803000494
71	0.3802883624
72	0.3802752234
73	0.3802646529
74	0.3802529378
75	0.3802409768
76	0.3802286342
77	0.3802160601
78	0.3802049986
79	0.3801924738
80	0.3801806189
81	0.3801687583
82	0.3801573246
83	0.3801463528
84	0.3801351592
85	0.3801228258
86	0.3801094587
87	0.3800967029
88	0.3800838449
89	0.3800712121
90	0.3800587631
91	0.3800474237
92	0.3800357618
93	0.380023494
94	0.3800123231
95	0.3800007768
96	0.3799893138
97	0.3799796421
98	0.3799672867
99	0.3799557946
100	0.3799435131
101	0.3799320649
102	0.3799205316
103	0.3799094497
104	0.3798972475
105	0.3798853473
106	0.3798748576
107	0.3798650664
108	0.3798531456
109	0.3798415516
110	0.3798315086
111	0.3798209331
112	0.3798105849
113	0.3798000114
114	0.3797893118
115	0.3797785603
116	0.3797679845
117	0.3797561008
118	0.3797453869
119	0.3797341783
120	0.3797238003
121	0.3797138637
122	0.3797049825
123	0.379695008
124	0.3796843231
125	0.3796733942
126	0.3796652315
127	0.379654818
128	0.3796452329
129	0.3796335889
130	0.3796234518
131	0.3796127581
132	0.3796009689
133	0.3795896079
134	0.3795783736
135	0.3795687665
136	0.37955743
137	0.379546921
138	0.3795370277
139	0.3795272631
140	0.3795163404
141	0.3795061288
142	0.3794950191
143	0.3794864297
144	0.3794757258
145	0.3794654
146	0.3794555119
147	0.3794457163
148	0.3794354085
149	0.3794256971
150	0.3794143927
151	0.379404241
152	0.3793945716
153	0.3793840733
154	0.3793748645
155	0.3793644666
156	0.3793531905
157	0.3793445338
158	0.3793343604
159	0.3793236459
160	0.379312974
161	0.3793025758
162	0.3792923557
163	0.3792831823
164	0.3792730585
165	0.3792646544
166	0.3792548591
167	0.3792465902
168	0.3792364044
169	0.3792262328
170	0.3792162565
171	0.3792057432
172	0.3791958803
173	0.3791857183
174	0.379174817
175	0.3791648048
176	0.3791550417
177	0.3791452468
178	0.3791352423
179	0.3791248184
180	0.3791152528
181	0.3791061615
182	0.3790959248
183	0.3790861351
184	0.3790762097
185	0.3790665197
186	0.3790576595
187	0.379048794
188	0.3790396344
189	0.3790309036
190	0.3790221185
191	0.3790127119
192	0.3790041358
193	0.3789943918
194	0.3789855756
195	0.3789758463
196	0.3789669155
197	0.3789582058
198	0.3789492077
199	0.37893958
200	0.3789303565
201	0.3789206167
202	0.3789116501
203	0.3789024204
204	0.378893292
205	0.3788839438
206	0.3788752284
207	0.3788650303
208	0.3788555916
209	0.3788473336
210	0.3788378079
211	0.3788288863
212	0.3788201872
213	0.3788122608
214	0.3788022778
215	0.3787937769
216	0.3787851501
217	0.3787767495
218	0.3787679087
219	0.3787591137
220	0.3787505269
221	0.3787413592
222	0.3787321474
223	0.3787245057
224	0.3787157645
225	0.3787077537
226	0.3786982057
227	0.3786898901
228	0.3786819951
229	0.3786731531
230	0.3786645438
231	0.3786557651
232	0.3786466033
233	0.378638549
234	0.3786302932
235	0.3786214748
236	0.3786133726
237	0.3786051617
238	0.3785972048
239	0.3785885468
240	0.3785800253
241	0.3785718435
242	0.3785630681
243	0.3785557338
244	0.3785471668
245	0.3785392687
246	0.3785305292
247	0.3785223494
248	0.3785152673
249	0.3785073322
250	0.3784989672
251	0.3784909373
252	0.3784822321
253	0.3784741871
254	0.3784669497
255	0.3784588724
256	0.378450961
257	0.3784428902
258	0.3784342247
259	0.3784267385
260	0.378417705
261	0.3784091887
262	0.3784009123
263	0.3783929098
264	0.378384582
265	0.3783773235
266	0.3783689314
267	0.3783613171
268	0.3783529209
269	0.378345583
270	0.37833796
271	0.3783294552
272	0.3783214826
273	0.3783132805
274	0.3783049142
275	0.3782977551
276	0.3782901347
277	0.3782825332
278	0.3782739439
279	0.3782674585
280	0.3782595731
281	0.3782514287
282	0.3782427205
283	0.3782356853
284	0.3782283058
285	0.3782208605
286	0.3782144984
287	0.3782061411
288	0.3781979957
289	0.3781899829
290	0.3781830822
291	0.3781751498
292	0.3781674625
293	0.3781598029
294	0.3781524383
295	0.3781448476
296	0.3781375282
297	0.3781297319
298	0.3781221471
299	0.3781144148
300	0.3781073977
301	0.3781003372
302	0.3780924977
303	0.3780852179
304	0.3780781852
305	0.3780715233
306	0.3780635749
307	0.3780563773
308	0.3780492174
309	0.3780420366
310	0.3780347238
311	0.3780278215
312	0.3780207446
313	0.3780142454
314	0.3780065674
315	0.3779993002
316	0.3779919809
317	0.3779845269
318	0.3779779001
319	0.377970346
320	0.3779628055
321	0.3779559513
322	0.3779488194
323	0.3779418187
324	0.3779344387
325	0.3779269254
326	0.3779198278
327	0.3779129395
328	0.3779059379
329	0.377899039
330	0.3778915058
331	0.3778846648
332	0.3778771765
333	0.3778700585
334	0.3778631493
335	0.3778567052
336	0.3778495006
337	0.3778432127
338	0.3778364991
339	0.3778294235
340	0.3778234391
341	0.3778174193
342	0.37781018
343	0.3778038878
344	0.3777967519
345	0.3777900415
346	0.3777829046
347	0.3777760082
348	0.3777688874
349	0.3777621743
350	0.3777552573
351	0.3777479607
352	0.3777416969
353	0.3777355961
354	0.3777299085
355	0.3777239279
356	0.3777175656
357	0.3777116358
358	0.3777046651
359	0.3776993731
360	0.3776935651
361	0.3776873024
362	0.3776815946
363	0.3776748312
364	0.377668197
365	0.3776623855
366	0.377655801
367	0.3776487793
368	0.3776428853
369	0.3776369966
370	0.3776308532
371	0.3776246393
372	0.3776181922
373	0.377611455
374	0.377604777
375	0.3775981298
376	0.3775926705
377	0.3775864431
378	0.3775797968
379	0.3775730787
380	0.377566912
381	0.3775606633
382	0.3775540753
383	0.3775473341
384	0.3775406328
385	0.3775338204
386	0.3775276959
387	0.3775214612
388	0.3775155566
389	0.3775089558
390	0.3775027198
391	0.3774957646
392	0.3774894173
393	0.3774834025
394	0.3774772018
395	0.3774712376
396	0.3774659109
397	0.3774597166
398	0.377452991
399	0.3774466625
400	0.3774405331
401	0.3774345205
402	0.3774289436
403	0.3774240107
404	0.3774182806
405	0.3774124885
406	0.3774062629
407	0.3774005406
408	0.3773946659
409	0.3773884841
410	0.3773829628
411	0.3773771152
412	0.3773707628
413	0.3773647635
414	0.3773589293
415	0.3773532593
416	0.3773469489
417	0.3773410535
418	0.3773344548
419	0.3773279045
420	0.3773219748
421	0.3773159891
422	0.377309969
423	0.3773040542
424	0.3772982864
425	0.37729287
426	0.3772875302
427	0.3772818271
428	0.37727633
429	0.3772713361
430	0.3772657059
431	0.3772597928
432	0.3772534919
433	0.3772477268
434	0.3772424766
435	0.377236268
436	0.3772304313
437	0.3772252059
438	0.3772191299
439	0.3772131588
440	0.3772073566
441	0.3772019586
442	0.3771961206
443	0.3771909251
444	0.3771843524
445	0.3771783361
446	0.3771728092
447	0.3771672106
448	0.3771616084
449	0.3771558316
450	0.3771502989
451	0.3771452554
452	0.3771395037
453	0.3771338813
