iter	Passed	Remaining
0	154	15252
1	159	7810
2	164	5314
3	168	4053
4	173	3304
5	178	2790
6	181	2411
7	184	2121
8	187	1894
9	189	1709
10	193	1563
11	196	1439
12	199	1333
13	201	1240
14	204	1160
15	207	1088
16	210	1025
17	212	969
18	215	920
19	218	873
20	220	830
21	223	790
22	225	756
23	228	724
24	231	693
25	233	665
26	236	639
27	238	614
28	241	592
29	244	570
30	247	550
31	249	530
32	252	512
33	255	495
34	258	479
35	260	463
36	263	448
37	265	433
38	268	419
39	271	406
40	273	394
41	276	381
42	279	370
43	281	358
44	284	347
45	287	337
46	290	327
47	292	317
48	295	307
49	298	298
50	301	289
51	304	280
52	306	272
53	309	263
54	311	255
55	314	247
56	317	239
57	320	231
58	322	224
59	325	216
60	328	209
61	330	202
62	333	195
63	336	189
64	339	182
65	342	176
66	344	169
67	347	163
68	350	157
69	353	151
70	355	145
71	358	139
72	360	133
73	363	127
74	365	121
75	368	116
76	371	110
77	373	105
78	376	100
79	379	94
80	381	89
81	384	84
82	387	79
83	389	74
84	392	69
85	394	64
86	397	59
87	401	54
88	404	49
89	407	45
90	410	40
91	414	36
92	417	31
93	420	26
94	423	22
95	426	17
96	429	13
97	432	8
98	434	4
99	437	0
