,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0007968902587890625,0.0007435820508432824,0.00019979476928710938,0.00039958953857421875,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
43,0.0007995128631591797,0.00039975644224422467,0.0,0.0,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
46,0.0005997180938720703,0.000489667780906084,0.0003998279571533203,0.0004896872457665585,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
15,0.0009995460510253905,3.2340669551493016e-07,0.0,0.0,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
13,0.0009994983673095703,0.0006323344620646838,0.0003996372222900391,0.0004894536906783155,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
1,0.003124713897705078,0.006249427795410156,0.0,0.0,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
2,0.0,0.0,0.0,0.0,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
20,0.0,0.0,0.000799560546875,0.0003997804440614467,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9523809523809523,1.0,0.9523809523809523,0.9523809523809523,0.9714285714285715,0.023328473740792194,8
50,0.0007997035980224609,0.00039985180967332167,0.00019989013671875,0.0003997802734375,1,,,1,"{'C': 1, 'gamma': 1}",1.0,0.9523809523809523,1.0,0.9047619047619048,1.0,0.9714285714285715,0.0380952380952381,8
37,0.0009994983673095703,2.78041453115716e-07,0.0,0.0,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.030116930096841705,10
40,0.0007996559143066406,0.00039982808510602566,0.00019989013671875,0.0003997802734375,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.030116930096841705,10
44,0.0005997180938720703,0.0004896677809060841,0.00019993782043457032,0.0003998756408691407,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.030116930096841705,10
